City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
199,Minbu,20.1833,94.8833,292.26,61,17,1.78,MM,few clouds
200,Brive-La-Gaillarde,45.25,1.5,279.82,68,100,0.89,FR,overcast clouds
201,Albanel,48.8832,-72.4487,266.15,68,97,5.14,CA,overcast clouds
202,Erenhot,43.6475,111.9767,256.71,85,26,1.92,CN,scattered clouds
203,Vestmannaeyjar,63.4427,-20.2734,277.23,72,32,12.92,IS,scattered clouds
204,Port Lincoln,-34.7333,135.8667,290,67,88,4.99,AU,overcast clouds
205,Barrow,71.2906,-156.7887,252.15,77,20,5.66,US,few clouds
206,Burns Lake,54.2331,-125.7533,265.15,86,100,2.57,CA,light snow
207,Mount Gambier,-37.8333,140.7667,288.15,77,90,3.6,AU,overcast clouds
208,Primorsko-Akhtarsk,46.0497,38.1747,271.31,89,100,2.94,RU,overcast clouds
209,Tashtagol,52.7657,87.8894,265.77,95,1,1.59,RU,clear sky
210,Mundo Nuevo,18.7,-95.5,297.86,86,15,3.93,MX,few clouds
211,Viedma,-40.8135,-62.9967,291.48,65,40,8.39,AR,scattered clouds
212,Sanmenxia,34.7747,111.1814,279.75,50,70,0.87,CN,broken clouds
213,Lompoc,34.6391,-120.4579,290.93,63,1,6.69,US,clear sky
214,Muros,42.7762,-9.0603,277.04,95,34,1.34,ES,scattered clouds
215,West Bay,19.3667,-81.4167,301.15,74,20,5.14,KY,few clouds
216,Taoudenni,22.6783,-3.9836,289.82,31,53,4.88,ML,broken clouds
217,Dawlatabad,36.4141,64.9053,282.1,67,95,0.76,AF,overcast clouds
218,Bilma,18.6853,12.9164,288.87,28,71,2.35,NE,broken clouds
219,Dingle,10.9995,122.6711,299.1,85,70,5.08,PH,broken clouds
220,Los Llanos De Aridane,28.6585,-17.9182,289.15,63,0,3.09,ES,clear sky
221,Ucluelet,48.9329,-125.5528,283.71,76,20,8.75,CA,few clouds
222,Acobamba,-11.3525,-75.6594,286.15,72,93,2.22,PE,overcast clouds
223,Cherskiy,68.75,161.3,252.61,81,0,2.07,RU,clear sky
224,Sur,22.5667,59.5289,289.86,65,0,2.54,OM,clear sky
225,Havelock,34.8791,-76.9013,280.37,61,100,1.34,US,overcast clouds
226,Itapeva,-23.9822,-48.8756,291.04,92,19,4.67,BR,few clouds
227,San Andres,12.5847,-81.7006,301.15,74,40,5.14,CO,scattered clouds
228,Ciudad Bolivar,8.1222,-63.5497,300.31,62,100,8.08,VE,overcast clouds
229,Nouadhibou,20.931,-17.0347,290.15,67,0,8.23,MR,clear sky
230,Saint-Georges,12.0564,-61.7485,299.15,73,20,7.2,GD,few clouds
231,Guerrero Negro,27.9769,-114.0611,293.82,40,0,5.04,MX,clear sky
232,Mitsamiouli,-11.3847,43.2844,300.91,74,94,2.49,KM,light rain
233,Bay Roberts,47.5999,-53.2648,280.37,100,90,10.8,CA,moderate rain
234,Tambun,-6.2641,107.0712,299.26,100,75,2.57,ID,moderate rain
235,Tabuk,17.4189,121.4443,296.27,84,43,0.24,PH,scattered clouds
236,Katherine,-14.4667,132.2667,298.15,88,75,1.54,AU,light rain
237,Isangel,-19.55,169.2667,303.15,74,20,2.57,VU,few clouds
238,Akyab,20.15,92.9,288.76,65,0,2.9,MM,clear sky
239,Belyy Yar,53.6039,91.3903,259.15,85,53,1,RU,mist
240,Beringovskiy,63.05,179.3167,251.48,89,48,4.66,RU,scattered clouds
241,Jacinto City,29.7675,-95.2338,292.15,68,1,4.12,US,clear sky
242,Dombarovskiy,50.7587,59.5386,258.65,91,98,8.38,RU,overcast clouds
243,Coquimbo,-29.9533,-71.3436,291.15,68,0,4.63,CL,clear sky
244,Deer Lake,49.1667,-57.4316,273.15,100,90,2.57,CA,overcast clouds
245,Pacific Grove,36.6177,-121.9166,289.15,63,1,1.54,US,clear sky
246,La Tuque,47.4334,-72.7824,266.15,68,97,3.09,CA,overcast clouds
247,Bethel,41.3712,-73.414,278.15,38,1,2.57,US,clear sky
248,Karratha,-20.7377,116.8463,300.05,58,13,3.99,AU,few clouds
249,Paris,48.8534,2.3488,280.37,93,90,3.6,FR,light intensity drizzle
250,Fortuna,40.5982,-124.1573,285.37,87,1,6.17,US,clear sky
251,Puerto Madero,14.7208,-92.4215,303.15,51,1,4.12,MX,clear sky
252,Flinders,-34.5833,150.8552,298.71,70,1,0.89,AU,clear sky
253,Yar-Sale,66.8333,70.8333,238.68,85,100,6.59,RU,overcast clouds
254,Siguiri,11.6667,-9.5,298.53,18,76,0.69,GN,broken clouds
255,Ballangen,68.3428,16.8315,270.93,93,90,1.03,NO,light snow
256,Chokwe,-24.5333,32.9833,295.9,91,100,1.52,MZ,overcast clouds
257,Badarpur,24.9,92.6,287.16,55,5,0.54,IN,clear sky
258,New Norfolk,-42.7826,147.0587,291.48,56,63,1.79,AU,broken clouds
259,Port Hardy,50.6996,-127.4199,280.15,81,75,5.66,CA,light rain
260,Lubao,14.9167,120.55,298.15,83,75,1.03,PH,broken clouds
261,Puri,19.8,85.85,290.15,88,0,1.54,IN,mist
262,Liverpool,53.4106,-2.9779,276.15,87,75,8.75,GB,broken clouds
263,Ornskoldsvik,63.2909,18.7153,264.15,86,0,4.12,SE,clear sky
264,Iquitos,-3.7481,-73.2472,299.15,83,40,1.36,PE,scattered clouds
265,Bairiki,1.3292,172.9752,300.15,89,75,3.09,KI,light rain
266,Henties Bay,-22.116,14.2845,290.93,89,33,0.89,NA,scattered clouds
267,Barcelos,41.5388,-8.6151,279.26,81,0,1.54,PT,clear sky
268,Bambous Virieux,-20.3428,57.7575,298.15,83,20,1.54,MU,few clouds
269,Nova Olinda Do Norte,-3.8881,-59.0942,297.6,95,91,0.98,BR,overcast clouds
270,Igra,57.5558,53.0547,252.98,90,100,4.48,RU,overcast clouds
271,Toba,34.4833,136.85,282.59,75,10,1.34,JP,clear sky
272,Xining,36.6167,101.7667,265.91,67,100,0.93,CN,overcast clouds
273,Hurricane,37.1753,-113.2899,289.15,16,1,5.14,US,clear sky
274,Solnechnyy,50.7214,136.6319,254.16,89,100,2.25,RU,overcast clouds
275,Torbay,47.6666,-52.7314,279.82,100,90,8.75,CA,heavy intensity rain
276,Saint Anthony,45.0205,-93.218,254.15,54,1,7.72,US,clear sky
277,Itaituba,-4.2761,-55.9836,303.15,74,0,0.81,BR,clear sky
278,Nizhniy Kuranakh,58.8353,125.4869,242.23,81,90,0.51,RU,overcast clouds
279,Lata,40.1629,-8.3327,283.71,81,27,2.24,PT,scattered clouds
280,General Roca,-39.0333,-67.5833,305.15,40,0,1.54,AR,clear sky
281,Breves,-1.6822,-50.4803,297.96,90,49,1.94,BR,scattered clouds
282,Cabo San Lucas,22.8909,-109.9124,298.15,56,1,3.09,MX,clear sky
283,Ingham,42.6,-84.3833,265.37,73,90,1.54,US,overcast clouds
284,Villarrica,-25.75,-56.4333,292.18,82,0,1.95,PY,clear sky
285,Wladyslawowo,54.7909,18.4009,266.48,92,40,4.12,PL,scattered clouds
286,Pombas,17.1503,-25.0201,294.15,60,75,9.77,CV,broken clouds
