City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,Kloulklubed,7.0419,134.2556,80.6,78,90,9.22,PW,2021-02-15 03:33:04
306,Oyama,36.3,139.8,59.0,94,90,16.11,JP,2021-02-15 03:33:04
307,Cayeli,41.0923,40.7292,47.23,72,98,4.45,TR,2021-02-15 03:33:04
308,Bogoslovka,53.2084,44.8013,-8.0,91,84,7.2,RU,2021-02-15 03:33:05
309,Nizhniy Tsasuchey,50.5167,115.1333,-1.61,89,100,8.12,RU,2021-02-15 03:33:05
310,Santa Maria,-29.6842,-53.8069,69.8,88,0,2.3,BR,2021-02-15 03:33:05
311,Avera,33.194,-82.5271,42.8,96,90,4.61,US,2021-02-15 03:33:05
312,Poronaysk,49.2167,143.1167,18.82,90,45,4.94,RU,2021-02-15 03:33:05
313,Bara,10.3744,10.7288,66.52,26,0,5.28,NG,2021-02-15 03:33:05
314,Udachnyy,66.4167,112.4,-24.56,83,100,13.85,RU,2021-02-15 03:31:25
315,Sechura,-5.5569,-80.8222,76.98,66,68,11.39,PE,2021-02-15 03:33:06
316,Rocha,-34.4833,-54.3333,66.94,92,95,2.71,UY,2021-02-15 03:28:26
317,Mayumba,-3.432,10.6554,79.5,84,100,6.46,GA,2021-02-15 03:33:06
318,Quelimane,-17.8786,36.8883,73.4,94,75,5.75,MZ,2021-02-15 03:32:08
319,Tkibuli,42.3477,42.9981,39.2,93,75,2.3,GE,2021-02-15 03:33:06
320,Leningradskiy,69.3833,178.4167,-14.17,85,0,5.3,RU,2021-02-15 03:33:06
321,Bulawayo,-20.15,28.5833,62.82,97,85,3.94,ZW,2021-02-15 03:32:26
322,Tahoua,14.8888,5.2692,71.6,18,0,2.3,NE,2021-02-15 03:33:07
323,Jacqueville,5.2052,-4.4146,80.6,100,20,4.61,CI,2021-02-15 03:33:07
324,Saldanha,-33.0117,17.9442,60.8,67,0,4.61,ZA,2021-02-15 03:33:07
325,Saint George,37.1041,-113.5841,44.6,36,1,11.5,US,2021-02-15 03:33:07
326,Yatsushiro,32.5,130.6,59.0,67,40,13.8,JP,2021-02-15 03:30:42
327,Tiznit,29.5833,-9.5,60.31,31,0,9.33,MA,2021-02-15 03:33:08
328,Puerto Baquerizo Moreno,-0.9,-89.6,77.9,85,93,10.42,EC,2021-02-15 03:28:29
329,Stokmarknes,68.5646,14.9108,34.0,90,98,4.0,NO,2021-02-15 03:33:08
330,Luena,-11.7833,19.9167,58.73,75,69,3.06,AO,2021-02-15 03:30:25
331,Davila,18.4726,120.5763,80.6,65,20,6.91,PH,2021-02-15 03:33:08
332,Flinders,-34.5833,150.8552,72.0,49,75,19.57,AU,2021-02-15 03:33:09
333,Port Augusta,-32.5,137.7667,91.99,28,0,9.22,AU,2021-02-15 03:33:09
334,Sitka,57.0531,-135.33,33.8,55,90,6.91,US,2021-02-15 03:33:09
335,Goderich,43.7501,-81.7165,19.4,73,100,3.44,CA,2021-02-15 03:33:09
336,Vilhena,-12.7406,-60.1458,68.86,91,100,3.67,BR,2021-02-15 03:33:09
337,Chokurdakh,70.6333,147.9167,-7.96,91,100,11.01,RU,2021-02-15 03:33:09
338,Naze,28.3667,129.4833,68.0,64,20,19.57,JP,2021-02-15 03:33:09
339,Asfi,32.2994,-9.2372,62.62,71,0,1.34,MA,2021-02-15 03:33:10
340,Fukue,32.6881,128.8419,53.6,76,75,21.85,JP,2021-02-15 03:33:10
341,Genhe,50.7833,121.5167,-5.55,82,52,4.97,CN,2021-02-15 03:33:10
342,Hay River,60.8156,-115.7999,3.2,60,0,8.05,CA,2021-02-15 03:33:10
343,Guerrero Negro,27.9769,-114.0611,57.87,75,38,14.7,MX,2021-02-15 03:33:10
344,Saint-Pierre,-21.3393,55.4781,79.0,69,0,5.75,RE,2021-02-15 03:33:10
345,Marienburg,54.0359,19.0266,25.0,84,39,3.0,PL,2021-02-15 03:33:11
346,Sassandra,4.95,-6.0833,76.68,94,85,5.48,CI,2021-02-15 03:33:11
347,Farrukhnagar,17.0778,78.2011,75.2,57,6,3.44,IN,2021-02-15 03:30:01
348,Atar,20.5169,-13.0499,64.9,27,0,10.09,MR,2021-02-15 03:33:11
349,Taltal,-25.4,-70.4833,65.62,77,17,1.61,CL,2021-02-15 03:33:11
350,Rognan,67.0953,15.3878,33.8,75,75,5.75,NO,2021-02-15 03:33:11
351,Chapais,49.7834,-74.8492,6.8,85,90,3.44,CA,2021-02-15 03:33:11
352,Segezha,63.7415,34.3222,-9.2,91,41,5.14,RU,2021-02-15 03:33:12
353,Kiama,-34.6833,150.8667,72.0,49,75,19.57,AU,2021-02-15 03:30:57
354,Spokoynaya,44.2468,41.4015,23.94,96,100,5.17,RU,2021-02-15 03:33:12
355,Iqaluit,63.7506,-68.5145,-2.2,71,90,9.22,CA,2021-02-15 03:33:12
356,Longyearbyen,78.2186,15.6401,19.4,73,75,8.05,SJ,2021-02-15 03:33:13
357,Talnakh,69.4865,88.3972,-30.05,81,15,7.83,RU,2021-02-15 03:33:13
358,Xinqing,48.2333,129.5,3.74,81,94,6.26,CN,2021-02-15 03:33:13
359,Baghdad,33.3406,44.4009,50.0,76,0,3.44,IQ,2021-02-15 03:33:13
360,Vrangel,42.7297,133.0839,27.93,97,100,10.07,RU,2021-02-15 03:33:13
