City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
150,150,Lacarak,45.0022,19.5686,279.82,83,100,2.91,RS,overcast clouds
151,151,Blagoveshchenka,52.8333,79.8667,272.62,98,100,12.72,RU,light snow
152,152,Itarema,-2.9248,-39.9167,298.94,83,39,4.49,BR,scattered clouds
153,153,Krasnoselkup,65.7,82.4667,249.39,89,100,5.34,RU,overcast clouds
155,155,Kjollefjord,70.9457,27.3465,269.8,94,100,9.55,NO,light snow
156,156,Kabanjahe,3.1001,98.4908,298.15,94,40,1.03,ID,scattered clouds
157,157,Sao Filipe,14.8961,-24.4956,293.93,75,18,7.06,CV,few clouds
158,158,Nichinan,31.6,131.3667,286.15,62,20,7.2,JP,few clouds
159,159,Longyearbyen,78.2186,15.6401,265.15,79,75,5.14,SJ,broken clouds
160,160,High Level,58.5169,-117.13600000000001,245.15,63,1,1.03,CA,clear sky
161,161,Coahuayana,18.7333,-103.6833,298.15,69,1,1.15,MX,clear sky
162,162,Compostela,7.6731,126.0889,298.07,86,100,1.67,PH,overcast clouds
163,163,Severo-Kurilsk,50.6789,156.125,268.2,92,94,8.1,RU,light snow
164,164,Qaanaaq,77.484,-69.3632,260.95,86,100,3.79,GL,overcast clouds
165,165,Port Lincoln,-34.7333,135.8667,290.4,67,99,5.36,AU,overcast clouds
166,166,Rapid Valley,44.0625,-103.1463,257.59,71,90,5.14,US,overcast clouds
167,167,Sawai Madhopur,25.9833,76.3667,280.51,64,0,0.95,IN,clear sky
168,168,East London,-33.0153,27.9116,296.56,87,73,6.9,ZA,broken clouds
169,169,Auki,-8.7676,160.7034,298.77,86,100,3.69,SB,overcast clouds
170,170,Andenes,69.3143,16.1194,274.15,64,100,10.8,NO,overcast clouds
171,171,Ambagarh Chauki,20.7833,80.7167,284.62,54,0,3.29,IN,clear sky
172,172,Puerto Ayora,-0.7393,-90.3518,298.15,93,52,1.34,EC,broken clouds
173,173,Atambua,-9.1061,124.8925,299.68,79,77,1.79,ID,broken clouds
174,174,Tateyama,34.9833,139.8667,286.15,62,20,3.09,JP,few clouds
175,175,Tura,25.5198,90.2201,287.5,62,100,0.86,IN,overcast clouds
176,176,Tasiilaq,65.6145,-37.6368,274.15,55,75,12.86,GL,broken clouds
177,177,Goure,13.9835,10.2704,288.94,27,100,3.9,NE,overcast clouds
178,178,Sibolga,1.7427,98.7792,299.05,72,50,1.23,ID,scattered clouds
179,179,Thunder Bay,48.4001,-89.3168,252.15,59,90,8.75,CA,snow
180,180,Watsa,3.0372,29.5355,289.39,33,0,0.72,CD,clear sky
181,181,Lompoc,34.6391,-120.4579,290.93,67,1,4.12,US,clear sky
182,182,Lovozero,68.005,35.0117,265.14,97,100,3.09,RU,light snow
183,183,Chipinge,-20.1883,32.6236,291.12,100,16,0.88,ZW,few clouds
184,184,Benguela,-12.5763,13.4055,295.67,84,100,1.47,AO,overcast clouds
185,185,Timra,62.486999999999995,17.3257,264.15,86,4,4.63,SE,clear sky
186,186,Kanigoro,-8.13,112.219,299.34,78,61,4.67,ID,broken clouds
188,188,Kabinda,-6.1333,24.4833,293.39,96,100,1.06,CD,overcast clouds
189,189,Nusaybin,37.0778,41.2178,277.15,65,0,2.06,TR,clear sky
190,190,Asau,46.4333,26.4,270.37,73,100,1.82,RO,light snow
191,191,Kasiri,8.9412,-13.1148,298.07,73,27,1.83,SL,scattered clouds
193,193,Margate,51.3813,1.3862,275.93,85,100,2.24,GB,light rain
194,194,Bambous Virieux,-20.3428,57.7575,298.15,83,40,2.06,MU,light rain
195,195,Leshukonskoye,64.8989,45.7622,245.03,86,85,4.14,RU,overcast clouds
196,196,Asyut,27.180999999999997,31.1837,285.15,82,0,3.09,EG,clear sky
197,197,Jiuquan,39.7432,98.5174,270.09,71,100,0.89,CN,overcast clouds
198,198,Laguna,38.421,-121.4238,291.15,45,1,2.57,US,clear sky
199,199,Vao,-22.6667,167.4833,298.62,80,0,1.71,NC,clear sky
200,200,Vostok,46.4856,135.8833,252.21,89,100,1.33,RU,overcast clouds
